GeneName	EntrezID	Symbol	Chr	Length
ENSG00000223972.4	DDX11L1	DDX11L1	chr1	2543.0
ENSG00000227232.4	WASH7P	WASH7P	chr1	15443.0
ENSG00000243485.1	MIR1302-2	MIR1302-2	chr1	1555.0
ENSG00000237613.2	FAM138A	FAM138A	chr1	1527.0
ENSG00000268020.1	AL627309.2	AL627309.2	chr1	1887.0
ENSG00000240361.1	OR4G11P	OR4G11P	chr1	939.0
ENSG00000186092.4	OR4F5	OR4F5	chr1	917.0
ENSG00000238009.2	RP11-34P13.7	RP11-34P13.7	chr1	44271.0
ENSG00000239945.1	RP11-34P13.8	RP11-34P13.8	chr1	1554.0
ENSG00000233750.3	RP11-34P13.10	RP11-34P13.10	chr1	3811.0
ENSG00000237683.5	AL627309.1	AL627309.1	chr1	4478.0
ENSG00000268903.1	RP11-34P13.15	RP11-34P13.15	chr1	754.0
ENSG00000269981.1	RP11-34P13.16	RP11-34P13.16	chr1	283.0
ENSG00000239906.1	RP11-34P13.14	RP11-34P13.14	chr1	549.0
ENSG00000241860.2	RP11-34P13.13	RP11-34P13.13	chr1	32388.0
ENSG00000222623.1	U6	U6	chr1	103.0
ENSG00000241599.1	RP11-34P13.9	RP11-34P13.9	chr1	1079.0
ENSG00000228463.4	AP006222.2	AP006222.2	chr1	39638.0
ENSG00000241670.2	AP006222.1	AP006222.1	chr1	483.0
ENSG00000237094.6	RP4-669L17.10	RP4-669L17.10	chr1	136228.0
ENSG00000250575.1	RP4-669L17.8	RP4-669L17.8	chr1	2016.0
ENSG00000233653.3	CICP7	CICP7	chr1	2805.0
ENSG00000224813.2	RP4-669L17.4	RP4-669L17.4	chr1	179.0
ENSG00000235249.1	OR4F29	OR4F29	chr1	994.0
ENSG00000269732.1	WBP1LP7	WBP1LP7	chr1	362.0
ENSG00000256186.1	AL732372.1	AL732372.1	chr1	90.0
ENSG00000236601.1	RP4-669L17.2	RP4-669L17.2	chr1	6847.0
ENSG00000236743.1	RP5-857K21.15	RP5-857K21.15	chr1	2298.0
ENSG00000236679.2	RP4-669L17.1	RP4-669L17.1	chr1	384.0
ENSG00000231709.1	RP5-857K21.1	RP5-857K21.1	chr1	2464.0
ENSG00000235146.2	RP5-857K21.2	RP5-857K21.2	chr1	7139.0
ENSG00000239664.2	RP5-857K21.3	RP5-857K21.3	chr1	3045.0
ENSG00000230021.2	RP5-857K21.4	RP5-857K21.4	chr1	204458.0
ENSG00000223659.1	RP5-857K21.5	RP5-857K21.5	chr1	1633.0
ENSG00000225972.1	MTND1P23	MTND1P23	chr1	371.0
ENSG00000225630.1	MTND2P28	MTND2P28	chr1	1043.0
ENSG00000237973.1	hsa-mir-6723	hsa-mir-6723	chr1	1542.0
ENSG00000229344.1	RP5-857K21.7	RP5-857K21.7	chr1	681.0
ENSG00000240409.1	MTATP8P1	MTATP8P1	chr1	206.0
ENSG00000248527.1	MTATP6P1	MTATP6P1	chr1	680.0
ENSG00000198744.5	RP5-857K21.11	RP5-857K21.11	chr1	546.0
ENSG00000268663.1	WBP1LP6	WBP1LP6	chr1	423.0
ENSG00000185097.2	OR4F16	OR4F16	chr1	994.0
ENSG00000229376.3	CICP3	CICP3	chr1	2811.0
ENSG00000224956.5	RP11-206L10.1	RP11-206L10.1	chr1	1916.0
ENSG00000235373.1	RP11-206L10.3	RP11-206L10.3	chr1	8203.0
ENSG00000223181.1	U6	U6	chr1	103.0
ENSG00000240618.1	RP11-206L10.5	RP11-206L10.5	chr1	5893.0
ENSG00000229905.1	RP11-206L10.4	RP11-206L10.4	chr1	1078.0
ENSG00000228327.2	RP11-206L10.2	RP11-206L10.2	chr1	13769.0
ENSG00000237491.3	RP11-206L10.9	RP11-206L10.9	chr1	31278.0
ENSG00000230092.3	RP11-206L10.8	RP11-206L10.8	chr1	9282.0
ENSG00000269831.1	AL669831.1	AL669831.1	chr1	605.0
ENSG00000240453.1	RP11-206L10.10	RP11-206L10.10	chr1	7603.0
ENSG00000177757.1	FAM87B	FAM87B	chr1	2463.0
ENSG00000225880.4	LINC00115	LINC00115	chr1	1316.0
ENSG00000228794.3	RP11-206L10.11	RP11-206L10.11	chr1	31838.0
ENSG00000230368.2	FAM41C	FAM41C	chr1	8832.0
ENSG00000234711.1	TUBB8P11	TUBB8P11	chr1	1057.0
ENSG00000269308.1	AL645608.2	AL645608.2	chr1	1940.0
ENSG00000230699.2	RP11-54O7.1	RP11-54O7.1	chr1	3513.0
ENSG00000241180.1	RP11-54O7.2	RP11-54O7.2	chr1	800.0
ENSG00000223764.1	RP11-54O7.3	RP11-54O7.3	chr1	2822.0
ENSG00000187634.6	SAMD11	SAMD11	chr1	19695.0
ENSG00000268179.1	AL645608.1	AL645608.1	chr1	5181.0
ENSG00000188976.6	NOC2L	NOC2L	chr1	15105.0
ENSG00000187961.9	KLHL17	KLHL17	chr1	5128.0
ENSG00000187583.5	PLEKHN1	PLEKHN1	chr1	9368.0
ENSG00000187642.5	C1orf170	C1orf170	chr1	6918.0
ENSG00000188290.6	HES4	HES4	chr1	1210.0
ENSG00000231702.2	RP11-54O7.10	RP11-54O7.10	chr1	153.0
ENSG00000224969.1	RP11-54O7.11	RP11-54O7.11	chr1	1196.0
ENSG00000187608.5	ISG15	ISG15	chr1	1117.0
ENSG00000188157.9	AGRN	AGRN	chr1	35993.0
ENSG00000242590.1	RP11-54O7.14	RP11-54O7.14	chr1	1083.0
ENSG00000217801.4	RP11-465B22.3	RP11-465B22.3	chr1	9621.0
ENSG00000237330.1	RNF223	RNF223	chr1	2561.0
ENSG00000131591.13	C1orf159	C1orf159	chr1	34543.0
ENSG00000223823.1	RP11-465B22.5	RP11-465B22.5	chr1	7039.0
ENSG00000207730.1	MIR200B	MIR200B	chr1	94.0
ENSG00000207607.1	MIR200A	MIR200A	chr1	89.0
ENSG00000198976.1	MIR429	MIR429	chr1	82.0
ENSG00000205231.1	TTLL10-AS1	TTLL10-AS1	chr1	6499.0
ENSG00000162571.9	TTLL10	TTLL10	chr1	24051.0
ENSG00000186891.9	TNFRSF18	TNFRSF18	chr1	3183.0
ENSG00000186827.6	TNFRSF4	TNFRSF4	chr1	2812.0
ENSG00000078808.12	SDF4	SDF4	chr1	15123.0
ENSG00000176022.3	B3GALT6	B3GALT6	chr1	2792.0
ENSG00000184163.3	FAM132A	FAM132A	chr1	4276.0
ENSG00000260179.1	RP5-902P8.12	RP5-902P8.12	chr1	1557.0
ENSG00000160087.16	UBE2J2	UBE2J2	chr1	19976.0
ENSG00000230415.1	RP5-902P8.10	RP5-902P8.10	chr1	5197.0
ENSG00000162572.15	SCNN1D	SCNN1D	chr1	11593.0
ENSG00000131584.14	ACAP3	ACAP3	chr1	17233.0
ENSG00000169972.7	PUSL1	PUSL1	chr1	3110.0
ENSG00000127054.14	CPSF3L	CPSF3L	chr1	13106.0
ENSG00000240731.1	RP5-890O3.9	RP5-890O3.9	chr1	1108.0
ENSG00000224051.2	GLTPD1	GLTPD1	chr1	4141.0
ENSG00000169962.4	TAS1R3	TAS1R3	chr1	3992.0
ENSG00000107404.13	DVL1	DVL1	chr1	14074.0
ENSG00000162576.11	MXRA8	MXRA8	chr1	9088.0
ENSG00000175756.9	AURKAIP1	AURKAIP1	chr1	1765.0
ENSG00000223663.2	RP5-890O3.3	RP5-890O3.3	chr1	366.0
ENSG00000221978.7	CCNL2	CCNL2	chr1	13617.0
ENSG00000224870.3	RP4-758J18.2	RP4-758J18.2	chr1	2524.0
ENSG00000242485.1	MRPL20	MRPL20	chr1	5405.0
ENSG00000264293.1	RN7SL657P	RN7SL657P	chr1	291.0
ENSG00000235098.4	ANKRD65	ANKRD65	chr1	3349.0
ENSG00000225905.1	RP4-758J18.7	RP4-758J18.7	chr1	2446.0
ENSG00000205116.3	TMEM88B	TMEM88B	chr1	1659.0
